"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"256","Hyundai Accent 1.5 CRDi Admire
            Sahibinden Satılık Hyundai Güvenlik Paketli Full 153 Binde Turbo dizel","2005",153000,"Beyaz",24500,"14 Mayıs 2017"," Ankara Etimesgut","Hyundai Accent 1.5 C",30.2512728,37.5647826
"327","BMW 3 Serisi 316i Standart
            Orjinal  kalan son e36 lardan kaskolu","1998",3e+05,"Gri",31000,"14 Mayıs 2017"," Zonguldak Ereğli","BMW 3 Serisi 316i St",34.4198243,37.0589669
"427","Opel Corsa 1.4 GLS
            17500tl ye temiz sahibinden satılık corsa","1997",177000,"Mavi",17500,"14 Mayıs 2017","İzmir Bornova","Opel Corsa 1.4 GLS
",27.0558707,38.8211393
"526","Opel Vectra 2.0 GL
            Arabada kurus masraf yok sıfır motor ayna gibi arac
                
                            
                            İlk Sahibi","1993",260000,"Bordo",17800,"14 Mayıs 2017"," Denizli Acıpayam","Opel Vectra 2.0 GL
",29.4002978,40.7738633
"727","Citroen C4 1.6 HDi SX
            Öğretmenden 2008 model dizel c4","2008",72123,"Siyah",31000,"14 Mayıs 2017"," Mersin Yenişehir","Citroen C4 1.6 HDi S",35.492816,38.388652
"827","Ford Focus 1.6 Ambiente
            Sahibinden orjinal guvenlik paketi fokus","1999",249000,"Gri (Gümüş)",23500,"14 Mayıs 2017"," Kahramanmaraş Elbistan","Ford Focus 1.6 Ambie",35.246833,39.193667
"927","Honda Civic 1.6 LS
            Honda","2000",159000,"Lacivert",29500,"14 Mayıs 2017","İstanbulÜsküdar","Honda Civic 1.6 LS
",29.1739513,40.9498022
"1026","Honda Civic 1.6 i-VTEC Elegance
            Sıfır Ayarında İhtiyaç Tan Satılık
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",7800,"Gri (Gümüş)",92900,"14 Mayıs 2017"," Kayseri Kocasinan","Honda Civic 1.6 i-VT",29.9871357,39.4228161
"1127","Fiat Uno 70 SX
            Az yakar çok kaçar şimdi den alana hayırlı olsun","1997",170000,"Gri",9500,"14 Mayıs 2017","İzmir Urla","Fiat Uno 70 SX
    ",35.6969984,38.7511567
"1227","Opel Corsa 1.3 CDTI Essentia
            Sahibinden Temiz Corsa","2005",2e+05,"Beyaz",25500,"14 Mayıs 2017"," GaziantepŞahinbey","Opel Corsa 1.3 CDTI ",33.54657,37.71532
"1327","Opel Astra 1.6 Essentia
            Temiz 2013 model Opel Astra","2013",44444,"Beyaz",48000,"14 Mayıs 2017"," Balıkesir Bandırma","Opel Astra 1.6 Essen",27.1382404,38.5183996
"1427","Fiat Marea 1.6 Exclusive
            ORJİNAL. 2004. Marea. Exclusive. Lux","2004",220000,"Füme",23450,"14 Mayıs 2017","Çankırı Merkez","Fiat Marea 1.6 Exclu",32.424074,39.8544476
"1527","Honda Civic 1.6 Elegance
            Alan kesin memnun kalacak","2009",91700,"Bej",53000,"14 Mayıs 2017"," Manisa Salihli","Honda Civic 1.6 Eleg",28.6614809,41.0343177
"1627","Renault Fluence 1.5 dCi Extreme
            RENAUT FULENS EXTEME  MODEL1.5 DİZEL","2011",183000,"Beyaz",37000,"14 Mayıs 2017","İstanbulÜsküdar","Renault Fluence 1.5 ",35.6969984,38.7511567
"1827","Audi 100 2.0 D
            İLK SAHİBİNDEN İLK PLAKASI 114 000 KM AUDİ 80 -1.6 DİZEL","1984",114000,"Kırmızı",16000,"14 Mayıs 2017"," Antalya Konyaaltı","Audi 100 2.0 D
    ",37.2115829,36.9907413
"1927","Volkswagen Passat 1.6 Trendline
            PASSAT KALİTESİ","2000",196600,"Lacivert",29500,"14 Mayıs 2017"," Bursa Osmangazi","Volkswagen Passat 1.",30.672185,40.8096395
"2027","Opel Corsa 1.4 Elegance
            BENZERSİZ CORSA C 1.4 16. WALF","2003",99500,"Gri (titanyum)",34250,"14 Mayıs 2017"," Sakarya Adapazarı","Opel Corsa 1.4 Elega",27.0441009,38.3465505
"2128","Tofaş Şahin 1.6
            ACİL İHTİYAÇTAN 88 ŞAHİN İLK GELEN ALIR","1988",180000,"Beyaz",5750,"14 Mayıs 2017"," Antalya Muratpaşa","Tofaş Şahin 1.6
   ",39.7198525,41.0054651
"2227","Ford C-Max 1.6 TDCi Grand Titanium X
            Araç Değişikliği yapacağım için satıyorum","2012",81000,"Gri",64000,"14 Mayıs 2017","İstanbulÜmraniye","Ford C-Max 1.6 TDCi ",29.155416,40.43182
"2327","Opel Corsa 1.3 CDTI Essentia
            HATASIZ BOYASIZ 2013  MODEL OPEL CORSA","2013",120000,"Beyaz",40750,"14 Mayıs 2017"," Antalya Kepez","Opel Corsa 1.3 CDTI ",30.4154737,40.8291144
"257","Honda Civic 1.6 Elegance
            Honda Hayat Onda","2011",140000,"Gri (Gümüş)",59000,"14 Mayıs 2017","Şanlıurfa Haliliye","Honda Civic 1.6 Eleg",29.3177272,41.104235
"328","Daihatsu Materia 1.5 Gold
            Materia 1.5 Gold Otomatik","2009",138000,"Bordo",29500,"14 Mayıs 2017","İstanbul Sancaktepe","Daihatsu Materia 1.5",28.7206721,40.9801984
"428","Hyundai Atos 1.1 GLS Style Prime
            Memurdan Atos","2007",51950,"Gri",23250,"14 Mayıs 2017"," Mersin Yenişehir","Hyundai Atos 1.1 GLS",35.461753,40.87477
"527","Renault Laguna 2.0 dCi Executive
            Çok temiz sıfır sıkıntı servis bakımlı","2010",216000,"Lacivert",46500,"14 Mayıs 2017","İstanbul Başakşehir","Renault Laguna 2.0 d",29.8194875,40.7167517
"728","Opel Astra 1.6 Elegance
            Tüm bakımları yapılmış masrafsız astra","2004",191000,"Beyaz",31000,"14 Mayıs 2017"," Düzce Merkez","Opel Astra 1.6 Elega",34.800122,40.968958
"828","Lada Samara 1.5
            AL BİN GİT
                
                            
                            İlk Sahibi","1994",250000,"Kırmızı",9750,"14 Mayıs 2017"," Ankara Sincan","Lada Samara 1.5
   ",27.8455601,37.8380162
"928","Ford Focus 1.6 Collection
            Hatasızzzzzz","2004",145000,"Mavi",33000,"14 Mayıs 2017"," AnkaraÇankaya","Ford Focus 1.6 Colle",38.7955149,37.1674039
"1027","Ford Focus 1.6 TDCi Trend X
            2011 bütün ağır bakimlari yeni yapildi.","2011",194000,"Gri (metalik)",40500,"14 Mayıs 2017","İstanbul Beşiktaş","Ford Focus 1.6 TDCi ",37.2115829,36.9907413
"1128","Renault Symbol 1.5 dCi Expression
            Sahibinden temiz 2012 sembol","2012",185,"Gri (Gümüş)",26000,"14 Mayıs 2017"," GaziantepŞehitkamil","Renault Symbol 1.5 d",35.958777,36.1981668
"1228","Volkswagen Polo 1.6 Classic
            Temiz Polo","1997",215000,"Mavi",17000,"14 Mayıs 2017","İzmir Gaziemir","Volkswagen Polo 1.6 ",34.4863567,36.8661859
"1328","Audi A3 1.6 Sportback Ambition
            Bakımlı Alman Tankı","2006",161000,"Füme",46000,"14 Mayıs 2017"," Samsunİlkadım","Audi A3 1.6 Sportbac",29.830918,40.756189
"1428","Volkswagen Polo 1.4 Comfortline
            Temiz Aile Aracı","2006",100,"Füme",36300,"14 Mayıs 2017","İstanbulÜmraniye","Volkswagen Polo 1.4 ",29.0227159,40.1794309
"1528","Tofaş Doğan SLX
            Doğanım satış ta","1996",107099,"Yeşil (metalik)",12750,"14 Mayıs 2017"," KocaeliÇayırova","Tofaş Doğan SLX
   ",38.744542,38.793889
"1628","Opel Astra 1.6 Edition
            ÇOK TEMİZ TİTİZLİKLE KULLANILMIŞ
                
                            
                            İlk Sahibi","2014",65000,"Beyaz",53000,"14 Mayıs 2017"," AdanaÇukurova","Opel Astra 1.6 Editi",29.0227159,40.1794309
"1828","Opel Corsa 1.2 Enjoy
            ÇOK TEMİZ DÜŞÜK KM 
                
                            
                            İlk Sahibi","2010",78000,"Gri",40000,"14 Mayıs 2017"," AdanaÇukurova","Opel Corsa 1.2 Enjoy",36.3931354,36.499525
"1928","Tofaş Şahin 5 Vites
            Acil Sahin Satilik","1988",0,"Mavi",6250,"14 Mayıs 2017"," Ankara Mamak","Tofaş Şahin 5 Vites",27.1382404,38.5183996
"2028","Hyundai Accent 1.3 LX
            Milenyum Kasa ACCENT","2001",217000,"Gri",16500,"14 Mayıs 2017"," Kocaeli Kartepe","Hyundai Accent 1.3 L",39.7198525,41.0054651
"2129","Toyota Auris 1.6 Elegant
            BAKIMLI AURIS LPGLİ","2007",155000,"Gri",40500,"14 Mayıs 2017","İstanbulÜmraniye","Toyota Auris 1.6 Ele",28.6498144,40.9910381
"2228","Renault Clio 1.2 Dynamic
            Biniciye mükemmel bir aile araci","2011",16000,"Beyaz",26500,"14 Mayıs 2017"," Konya Selçuklu","Renault Clio 1.2 Dyn",33.5571619,39.8606983
"2328","Renault Fluence 1.5 dCi Touch
            ARAÇ ÇOK TEMIZ VE BAKIMLI DİZEL ARACLARLA TAKAS DÜSÜNÜLÜR PASSAT JETTA VB. TAKAS FIYATI 55000.","2014",97000,"Beyaz",52750,"14 Mayıs 2017"," Hakkari Yüksekova","Renault Fluence 1.5 ",28.6614809,41.0343177
"258","Hyundai Accent Blue 1.6 CRDI Mode
            Kaza boya degisen yok!! Hyundai Accent Blue Otomatik vites","2014",38000,"Beyaz",65250,"14 Mayıs 2017"," Samsun Atakum","Hyundai Accent Blue ",41.9071762,37.9344903
"329","Volkswagen Golf 1.6 TDi Highline
            ÖĞRETMENDEN SATILIK GOLF HİGHLİNE OTOMATİK SUNRUFLU EN FUL PAKET","2011",145000,"Beyaz",66500,"14 Mayıs 2017"," Batman Kozluk","Volkswagen Golf 1.6 ",36.9228223,37.5752755
"429","Volkswagen Passat Variant 1.6 TDi BlueMotion Comfortline
            PASSAT  33.250 KM KAZASIZ ORJİNAL","2014",33250,"Beyaz",95000,"14 Mayıs 2017"," Kocaeli Başiskele","Volkswagen Passat Va",32.831015,40.0210623
"528","Honda Civic 1.6 Elegance
            ilk sahibinden hatasiz honda civic
                
                            
                            İlk Sahibi","2007",110000,"Gri",51500,"14 Mayıs 2017"," GaziantepŞahinbey","Honda Civic 1.6 Eleg",32.9212265,39.8451842
"729","Fiat Albea 1.4 Fire Dynamic
            IHTIYACDAN  ACIL SATILIK","2006",223000,"Kırmızı",16750,"14 Mayıs 2017","İzmir Bornova","Fiat Albea 1.4 Fire ",29.0963328,37.7830159
"829","Honda Civic 1.4 1.4i
            1996 HONDA CİVİC OTOMATİK VİTES KLİMA LPGLİ","1996",205000,"Beyaz",20900,"14 Mayıs 2017"," Balıkesir Gönen","Honda Civic 1.4 1.4i",27.179913,39.121449
"929","Ford Fiesta 1.4 TDCi Comfort
            Bu yaşta Bu Temizlik Bu Fiyat","2005",190000,"Gri (titanyum)",28500,"14 Mayıs 2017","İstanbul Başakşehir","Ford Fiesta 1.4 TDCi",39.3124988,37.7506386
"1028","Toyota Auris 1.6 Comfort Extra
            46 binde az kullanilmis toyota auris","2011",46000,"Kırmızı",55000,"14 Mayıs 2017"," Ankara Sincan","Toyota Auris 1.6 Com",29.5339711,40.9329106
"1129","Volkswagen Passat 1.8 T Comfortline
            BaKIMLI TEMIZ 1.8 T 20V  150 HP","1999",191000,"Beyaz",31000,"14 Mayıs 2017"," Ankara Sincan","Volkswagen Passat 1.",38.7955149,37.1674039
"1229","Renault Fluence 1.5 dCi Extreme
            2011 Fluence Extreme Makam Perdeli 204 bin km.","2011",204000,"Gri (Gümüş)",42000,"14 Mayıs 2017"," Sakarya Adapazarı","Renault Fluence 1.5 ",30.272628,38.465179
"1329","Ford Fiesta 1.4 TDCi Titanium
            Öğretmenden Temiz Değişensiz ve boyasız Titanyum Fiesta","2011",98000,"Siyah",42750,"14 Mayıs 2017","Şırnak Merkez","Ford Fiesta 1.4 TDCi",29.0227159,40.1794309
"1429","Renault Megane 1.6 RTE
            Acill
                
                            
                            İlk Sahibi","1998",200,"Yeşil",18000,"14 Mayıs 2017"," ManisaŞehzadeler","Renault Megane 1.6 R",41.213997,37.0696439
"1529","Opel Corsa 1.2 Essentia
            2004 model Opel Corsa 12 Benzinli","2004",170000,"Gri (Gümüş)",23750,"14 Mayıs 2017"," Balıkesir Gönen","Opel Corsa 1.2 Essen",32.805752,39.798293
"1629","Opel Astra 1.4 Classic
            2009 MODEL 34700 KM İLK SAHİBİ
                
                            
                            İlk Sahibi","2009",34700,"Siyah",37000,"14 Mayıs 2017"," Denizli Merkezefendi","Opel Astra 1.4 Class",35.9746094,41.1268773
"1829","Tofaş Kartal 5 Vites
            ACİL TEMİZ","1994",150000,"Siyah",9750,"14 Mayıs 2017","İstanbul Bağcılar","Tofaş Kartal 5 Vites",33.0563914,39.9124056
"1929","Chevrolet Kalos 1.4 SE
            TEMİZ AİLE ARABASI","2004",163000,"Beyaz",22000,"14 Mayıs 2017"," Ankara Keçiören","Chevrolet Kalos 1.4 ",40.8075007,38.6675971
"2029","Hyundai Getz 1.5 CRDi Comfort Plus
            Açil satılık kılimalı
                
                            
                            İlk Sahibi","2006",2e+05,"Yeşil (metalik)",17000,"14 Mayıs 2017"," Batman Merkez","Hyundai Getz 1.5 CRD",32.695547,39.9904289
"2130","Skoda SuperB 1.6 TDI Elegance
            sahibinden beyaz melek plakaya dikkat:)","2012",78500,"Beyaz",75500,"14 Mayıs 2017"," Kahramanmaraş Elbistan","Skoda SuperB 1.6 TDI",37.796949,37.009926
"2229","Ford Focus 1.6 Ti-VCT Trend X
            TEMİZ FOKUS 2016 Trafiğe Çıkışlı
                
                            
                            Yeni Gibi","2015",10950,"Beyaz",55500,"14 Mayıs 2017"," Batman Merkez","Ford Focus 1.6 Ti-VC",32.9212265,39.8451842
"2329","BMW 3 Serisi 316i Standart
            2000 model BMW 316i değişensiz Full+Full","2000",240000,"Mavi (metalik)",37900,"14 Mayıs 2017"," Balıkesir Gönen","BMW 3 Serisi 316i St",28.5564526,41.0534024
"259","Renault Megane 1.6 RTE
            Sahibinden 98 model Megan 1.6 RTE","1998",220000,"Lacivert",21500,"14 Mayıs 2017"," Ankara Mamak","Renault Megane 1.6 R",37.3399768,37.203126
"330","Honda Civic 1.6 LS
            Acil Fiyatlı Euro Civic","1996",270000,"Füme",16500,"14 Mayıs 2017","İstanbul Kartal","Honda Civic 1.6 LS
",29.127778,40.983333
"430","Honda Civic 1.6 ES
            2003 MANUEL VTEC","2003",199440,"Beyaz",32500,"14 Mayıs 2017"," Ankara Kazan","Honda Civic 1.6 ES
",35.2587964,36.9674013
"529","Seat Cordoba 1.4 TDI Stylance
            Seat Cordoba Nin En Full Araci","2008",161000,"Gri",23000,"14 Mayıs 2017","Şanlıurfa Karaköprü","Seat Cordoba 1.4 TDI",28.5564526,41.0534024
"730","Toyota Corolla 1.6 Terra
            Corolla Orj.88 Binde Tertemiz","2006",88000,"Gri",39000,"14 Mayıs 2017"," Bursa Yıldırım","Toyota Corolla 1.6 T",27.0441009,38.3465505
"830","Opel Astra 1.6 CDTI Sport
            ASTRA SEDAN DİZEL 136 hp SPORT BOYASİZ","2015",55000,"Gri",72500,"14 Mayıs 2017"," GaziantepŞahinbey","Opel Astra 1.6 CDTI ",36.5590413,40.3000971
"930","Renault R 19 1.4 RT
            Sahibinden Renault 19 Hp","1997",150000,"Bordo",10000,"14 Mayıs 2017","Şanlıurfa Haliliye","Renault R 19 1.4 RT",29.8194875,40.7167517
"1029","Suzuki Swift 1.3 MT 4X4
            ACILLL","2007",128000,"Füme",27000,"14 Mayıs 2017"," Kocaeli Körfez","Suzuki Swift 1.3 MT ",36.949405,37.5785696
"1130","Volkswagen Polo 1.4 Chrome Edition
            ACİLL SATILIK","2013",75000,"Kırmızı",55000,"14 Mayıs 2017"," Antalya Döşemealtı","Volkswagen Polo 1.4 ",33.0563914,39.9124056
"1230","Fiat Albea Sole 1.3 Multijet Active
            Temiz Albea 2010","2010",250000,"Sarı",25000,"14 Mayıs 2017"," ManisaŞehzadeler","Fiat Albea Sole 1.3 ",38.2322028,37.7866427
"1330","Renault Twingo 1.2 Alize
            Kara simsek satista","1997",220000,"Siyah",12000,"14 Mayıs 2017"," Sivas Merkez","Renault Twingo 1.2 A",35.883333,36.416667
"1430","Hyundai i20 Troy 1.2 DOHC Mode
            ÖĞRETMENDEN- HATASIZ- BOYASIZ","2012",55000,"Gri (metalik)",33750,"14 Mayıs 2017"," Antalya Gazipaşa","Hyundai i20 Troy 1.2",38.3960369,40.8414053
"1530","Chevrolet Aveo 1.2 LS
            Öğretmenden","2012",69500,"Siyah",34250,"14 Mayıs 2017","Şanlıurfa Birecik","Chevrolet Aveo 1.2 L",32.9212265,39.8451842
"1630","Volkswagen Polo 1.6
            sahibinden 97 polo sanruflu","1997",252500,"Beyaz",19500,"14 Mayıs 2017"," Aksaray Merkez","Volkswagen Polo 1.6",29.4002978,40.7738633
"1830","Dacia Logan 1.5 dCi Black Line
            Acil Satılıktır Pazarlık Payı Vardır","2011",42000,"Sarı",22500,"14 Mayıs 2017"," Manisa Turgutlu","Dacia Logan 1.5 dCi ",28.8130675,40.142458
"1930","Opel Astra 1.6 GL
            Masrafsız Astra","1998",219000,"Lacivert",25300,"14 Mayıs 2017"," Ankara Sincan","Opel Astra 1.6 GL
 ",32.831015,40.0210623
"2030","Renault Clio 1.5 dCi Authentique
            Yakit Cimrisi","2004",215000,"Kırmızı",15750,"14 Mayıs 2017"," Sakarya Kocaali","Renault Clio 1.5 dCi",30.5739579,38.740978
"2131","Fiat Albea 1.2 Active
            ARAC DEGISTIRMEK ICIN SATILIK AILE ARACI","2006",106750,"Gri",23500,"14 Mayıs 2017","İstanbul Büyükçekmece","Fiat Albea 1.2 Activ",38.3654439,38.42502
"2230","Skoda Octavia 1.6 Elegance
            Acil","2005",256000,"Mavi (metalik)",33000,"14 Mayıs 2017"," Bitlis Tatvan","Skoda Octavia 1.6 El",32.193323,40.800325
"2330","Hyundai Accent 1.5 GLS
            Temiz Araç Arayanlara","1998",19000,"Beyaz",21750,"14 Mayıs 2017"," Ankara Sincan","Hyundai Accent 1.5 G",27.3851496,38.1927986
"260","Renault Laguna 1.5 dCi Dynamique
            Emsalsiz hasar,boya,değişen yok","2009",176000,"Gri (metalik)",44500,"14 Mayıs 2017"," Antalya Konyaaltı","Renault Laguna 1.5 d",29.002,41.044
"331","Peugeot 206+ 1.4 Comfort
            Tertemiz 206+","2011",61000,"Beyaz",34000,"14 Mayıs 2017"," Kocaeli Karamürsel","Peugeot 206+ 1.4 Com",29.127778,40.983333
"431","Peugeot 206 1.4 Comfort
            2006 model tam otomatik","1999",210000,"Gri",16000,"14 Mayıs 2017","Şanlıurfa Karaköprü","Peugeot 206 1.4 Comf",37.1044125,36.7507167
"530","Volvo S80 2.4 D5
            sürüş keyfini yaşamak isteyenlere sahibinden kullanıcısına kazasız, değişensiz s80 d5","2006",240000,"Gri (metalik)",65000,"14 Mayıs 2017"," AnkaraÇankaya","Volvo S80 2.4 D5
  ",33.925311,36.37633
"731","Volvo S60 2.0 T
            İlk Sahibinden..volvo S 60..otomtik
                
                            
                            İlk Sahibi","2005",214000,"Mavi",45000,"14 Mayıs 2017"," Konya Seydişehir","Volvo S60 2.0 T
   ",29.0576298,40.9818744
"831","Renault Symbol 1.5 dCi Authentique
            Ciddi alıcılar ararsa sevınırım","2011",183000,"Gri (Gümüş)",25750,"14 Mayıs 2017"," Ankara Keçiören","Renault Symbol 1.5 d",27.971405,40.353707
"931","Renault Megane 1.6 Dynamique
            2004 MEGANE II DYNAMIQUE 1,6 16V LPG'Lİ","2004",232000,"Gri (metalik)",32000,"14 Mayıs 2017"," Osmaniye Merkez","Renault Megane 1.6 D",29.1274334,41.0182327
"1030","Fiat Linea 1.3 Multijet Active
            Fiat linea 2008","2008",297000,"Mavi",25500,"14 Mayıs 2017","İstanbul Küçükçekmece","Fiat Linea 1.3 Multi",29.4002978,40.7738633
"1131","Ford Focus 1.6 TDCi Trend
            167binde dizel fokus hasar kayıpsız.","2010",167000,"Gri",39500,"14 Mayıs 2017"," Tokat Merkez","Ford Focus 1.6 TDCi ",28.9470422,41.0168639
"1231","Renault R 12 GTS
            ACİLL ASKERDEN SATLIKK","1984",78,"Gri (Gümüş)",6350,"14 Mayıs 2017"," Kayseri Develi","Renault R 12 GTS
  ",35.2587964,36.9674013
"1331","Volkswagen Polo 1.4 Comfortline
            DÜŞÜK KM Lİ OTOMATİK COMFORTLİNE POLO","2011",54200,"Kırmızı",46500,"14 Mayıs 2017","İstanbul Zeytinburnu","Volkswagen Polo 1.4 ",28.7206721,40.9801984
"1431","Fiat Albea 1.4 Fire Active
            Kesinlikle Değişensiz ve boyasız orjinal km'de Albrea","2006",98500,"Beyaz",24750,"14 Mayıs 2017"," Ankara Etimesgut","Fiat Albea 1.4 Fire ",28.8538545,41.0794133
"1531","Renault Clio 1.4 RNA
            TEMİZ ARAÇ  FAZLA KM ARAÇLARLA MUKAYESE ETMEYİN FİYAT NORMAL LUTFEN SON OLURU DİYE MESAJ ATMAYIN","2001",133000,"Bordo",20000,"14 Mayıs 2017","İzmirÇeşme","Renault Clio 1.4 RNA",26.408587,40.14672
"1631","Opel Astra 1.6 GL
            Memurdan temiz bakimli","1998",194000,"Beyaz",20750,"14 Mayıs 2017"," Rize Kalkandere","Opel Astra 1.6 GL
 ",29.0963328,37.7830159
"1831","Volkswagen Golf 1.6 Comfortline
            ÇOK TEMİZ SAHİBİNDEN GOLF 4","2004",143000,"Gri (metalik)",32500,"14 Mayıs 2017","İzmir Bornova","Volkswagen Golf 1.6 ",30.5256311,39.7667061
"1931","Volkswagen Jetta 1.4 TSi Comfortline
            Memurdan Jetta 1.4TSİ","2009",114500,"Gri (Gümüş)",44750,"14 Mayıs 2017"," GaziantepŞahinbey","Volkswagen Jetta 1.4",32.903356,40.038463
"2031","Ford Taunus 1.6 GT
            Acillll ayağını yerden kesin diyorsan kaçırılmayacak fırsat","1990",2999999,"Bordo",3250,"14 Mayıs 2017"," Ankara Keçiören","Ford Taunus 1.6 GT
",29.9408089,40.7654408
"2132","Ford Focus 1.6 Ti-VCT Style
            emsalsiz sıfır ayarında değişen yok şimdiden alıcısına hayırlı olsun
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2015",16700,"Beyaz",64500,"14 Mayıs 2017"," Adana Yüreğir","Ford Focus 1.6 Ti-VC",33.925311,36.37633
"2231","Toyota Corolla 1.4 D-4D Touch
            Toyoto Corolla MM","2015",50000,"Beyaz",71500,"14 Mayıs 2017"," Osmaniye Merkez","Toyota Corolla 1.4 D",29.0576298,41.0189417
"2331","Tofaş Doğan SLX
            Memurdan Bakımlı SLX","1993",38000,"Yeşil",13500,"14 Mayıs 2017"," Antalya Konyaaltı","Tofaş Doğan SLX
   ",38.7955149,37.1674039
"261","BMW 1 Serisi 118i Joy
            Garaj arabası BMW 118i
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2015",7000,"Beyaz",106000,"14 Mayıs 2017"," AnkaraÇankaya","BMW 1 Serisi 118i Jo",35.2587964,36.9674013
"332","Kia Pride 1.3
            SAHİBİNDEN  TEMİZ,AZ YAKAN,YENİ MUAYENELİ MASRAFSIZ AİLE ARACI","2000",192500,"Mavi (metalik)",14000,"14 Mayıs 2017"," Malatya Battalgazi","Kia Pride 1.3
     ",32.831015,40.0210623
"432","Hyundai Accent 1.6 Admire
            Sıfır ayarıda ,görülmeye değer.","2005",77007,"Gri",31750,"14 Mayıs 2017"," Mersin Yenişehir","Hyundai Accent 1.6 A",35.482597,38.720489
"531","Volkswagen Polo 1.2 TSi Lounge
            İlk sahibinden 14. 000 km de Polo Lounge Garaj arabası
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2015",14100,"Beyaz",57900,"14 Mayıs 2017"," Muğla Fethiye","Volkswagen Polo 1.2 ",29.5339711,40.9329106
"732","Opel Astra 1.6 Enjoy
            KAZASIZ -DEĞISENSİZ","2005",90700,"Mavi",34500,"14 Mayıs 2017","Şanlıurfa Haliliye","Opel Astra 1.6 Enjoy",30.5256311,39.7667061
"832","Renault Symbol 1.5 dCi Authentique
            ACİLLL SATLIK  ...KLİMALI.... DİZEL ARAÇ ...","2011",168000,"Gri (Gümüş)",26250,"14 Mayıs 2017"," AdanaÇukurova","Renault Symbol 1.5 d",28.9004553,41.0759477
"932","Mercedes - Benz 230 E
            Orijinalliği korunmuş ve çok temiz  Mercedes 230 E","1986",374272,"Beyaz",23500,"14 Mayıs 2017","İstanbul Beykoz","Mercedes - Benz 230 ",37.2115829,36.9907413
"1031","Mercedes - Benz 200 E
            HERŞEY İLK GÜNKİ GİBİ","1993",248000,"Bordo",26000,"14 Mayıs 2017"," Ankara Keçiören","Mercedes - Benz 200 ",38.2143135,38.2657162
"1132","Fiat Linea 1.6 Multijet Active Plus
            Daha temizi yok
                
                            
                            İlk Sahibi","2011",89000,"Gri (Gümüş)",35003,"14 Mayıs 2017"," Adıyaman Merkez","Fiat Linea 1.6 Multi",27.1441227,38.4144802
"1232","Renault R 9 1.4 Spring
            gel bak gor","1994",145,"Beyaz",8750,"14 Mayıs 2017","İstanbul Sancaktepe","Renault R 9 1.4 Spri",NA,NA
"1332","Seat Altea 1.6 TDI Style XL
            MEMURDAN 2012 DEGİSENSİZ SEAT ALTIA","2012",160000,"Beyaz",44500,"14 Mayıs 2017"," Kırşehir Merkez","Seat Altea 1.6 TDI S",30.5739579,38.740978
"1432","Moskvitch Aleko
            1990 model HB Moskoviç ,orjinal 44000 km karbüratörlü
                
                            
                            Acil","1990",44000,"Kırmızı",8500,"14 Mayıs 2017","İstanbulÜmraniye","Moskvitch Aleko
   ",29.0576298,40.9818744
"1532","Peugeot 307 1.4 Comfort
            BUNDAN İYİSİ MALATYADA KAYISI.....","2006",80000,"Gri",32000,"14 Mayıs 2017"," Malatya Battalgazi","Peugeot 307 1.4 Comf",30.4818446,39.8998742
"1632","Fiat Albea Sole 1.4 Fire Active
            2007 albeya","2007",590,"Gri",15500,"14 Mayıs 2017","İzmir Kemalpaşa","Fiat Albea Sole 1.4 ",29.1782018,41.1429436
"1832","Peugeot 301 1.6 HDi Active
            Acil Sahibinden 301 peugeot","2014",122800,"Beyaz",34500,"14 Mayıs 2017","İstanbul Esenyurt","Peugeot 301 1.6 HDi ",27.1382404,38.3231215
"1932","Volvo S80 2.0 D Premium
            Hatasız kazasız değişensiz temiz 36.000 km
                
                            
                            İlk Sahibi","2014",36000,"Beyaz",175000,"14 Mayıs 2017"," Ankara Mamak","Volvo S80 2.0 D Prem",41.105188,39.94579
"2032","Opel Astra 1.6 GL
            1.6 opel astra degisensiz temiz masrafsiz","1994",3e+05,"Beyaz",14800,"14 Mayıs 2017"," Antalya Alanya","Opel Astra 1.6 GL
 ",26.408587,40.14672
"2133","Honda Civic 1.6 i-VTEC Black Edition
            2015 OTOMATIK NAGIVASYON  SANRUF CIFT KAMERA HATASIZ KUSURSUZ FUL +GARANTILI
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2015",30000,"Siyah",78500,"14 Mayıs 2017"," Hatayİskenderun","Honda Civic 1.6 i-VT",41.105188,39.94579
"2232","Fiat Brava 1.6 SX
            Satılık tesisatlı brava SX AB aç","2000",222000,"Bej",19250,"14 Mayıs 2017"," Tekirdağ Ergene","Fiat Brava 1.6 SX
 ",39.1889005,38.7312587
"2332","Renault Clio 1.4 RNA
            Temiz aile aracı","2000",169000,"Mavi",17600,"14 Mayıs 2017","İstanbul Fatih","Renault Clio 1.4 RNA",35.4343604,36.9075903
"262","Mitsubishi Lancer 1.5 Inform
            Expertize raporlu lancer","2008",93000,"Füme",39000,"14 Mayıs 2017"," Mersin Toroslar","Mitsubishi Lancer 1.",29.5339711,40.9329106
