"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"221","Volkswagen Passat 1.4 TSi BlueMotion Comfortline
            BİNGÖL AUTO'DAN 2012 VW PASSAT 1.4 COMFORTLİNE 160 BG DSG","2012",71200,"Gri",73000,"14 Mayıs 2017"," Elazığ Merkez","Volkswagen Passat 1.",35.2587964,36.9674013
"231","Tofaş Doğan 1.6
            ACAR OTOMOTIV'DEN 84 MODEL 131  DOGAN DEGIŞENSİZ FULL ORJINAL","1984",131320,"Füme",8750,"14 Mayıs 2017"," Samsun Bafra","Tofaş Doğan 1.6
   ",28.824722,41.0456474
"25","Ford C-Max 1.6 TDCi Trend
            2004 FORD C-MAX 1.6 TDCİ SUNROFF ORJ. 170 KM MASRAFSIZ
                
                            
                            İlk Sahibi","2005",170000,"Gri (Gümüş)",35500,"14 Mayıs 2017"," Ankara Akyurt","Ford C-Max 1.6 TDCi ",30.769476,36.8827594
"32","Chevrolet Kalos 1.4 SX
            -OTO-MİS-2004 CHEVROLET KALOS 14 LPG Lİ VADELİ TAKASLI","2004",150000,"Yeşil",19500,"14 Mayıs 2017","İstanbul Eyüp","Chevrolet Kalos 1.4 ",29.1739513,40.9498022
"42","Toyota Corolla 1.4 D-4D Comfort
            -OTO-MİS- 2008 TOYOTA COROLLA 14 D-4D  VADE TAKAS","2008",160000,"Gri (Gümüş)",49000,"14 Mayıs 2017","İstanbul Eyüp","Toyota Corolla 1.4 D",27.2911248,38.3337361
"51","Mercedes - Benz C 180 Esprit
            Okyanustan mercedes. Ç 180","1995",240000,"Bordo",38500,"14 Mayıs 2017"," Sivas Merkez","Mercedes - Benz C 18",28.9470422,41.0168639
"72","Toyota Avensis 1.6 Elegant
            2009 TOYOTA AVENSİSİ 1.6 ELEGANT 132 HP FULL HATASIZ L.P.G
                
                            
                            İlk Sahibi","2009",175000,"Mavi (metalik)",47500,"14 Mayıs 2017"," Ankara Akyurt","Toyota Avensis 1.6 E",35.2587964,36.9674013
"82","Toyota Corolla 1.4 D-4D Comfort Extra
            2013 TOYOTA COROLLA 1.4 4D DİZEL","2013",2e+05,"Beyaz",52750,"14 Mayıs 2017"," Kocaeli Başiskele","Toyota Corolla 1.4 D",27.1382404,38.3231215
"92","Volkswagen Polo 1.2 TDi Trendline
            2013 WW POLO 1.2 TDİ TRENDLİNE FULL ÖZEL.HATASIZ MANUEL
                
                            
                            İlk Sahibi","2013",120000,"Beyaz",43750,"14 Mayıs 2017"," Ankara Akyurt","Volkswagen Polo 1.2 ",27.1382404,38.3231215
"101","Renault R 11 Rainbow
            LPG LI + MASRAFSIZ + ARAC NIGDE DE + RENAULT RAINBOW 1.6","1994",298000,"Beyaz",9250,"14 Mayıs 2017","İstanbul Kartal","Renault R 11 Rainbow",35.2587964,36.9674013
"112","Tofaş Doğan 1.6
            DOĞAN S 16 benizin lpg","1995",150000,"Kırmızı",11750,"14 Mayıs 2017"," Adana Seyhan","Tofaş Doğan 1.6
   ",27.2911248,38.3337361
"122","Renault R 19 1.6 Europa RNE
            RENAULT 19 16","2000",250000,"Beyaz",15250,"14 Mayıs 2017","İstanbul Esenyurt","Renault R 19 1.6 Eur",28.824722,41.0456474
"132","Toyota Auris 1.4 D-4D Comfort Extra
            ĞÜÇLÜ AUTODAN SATILIK","2012",145000,"Siyah",43000,"14 Mayıs 2017"," Adana Seyhan","Toyota Auris 1.4 D-4",27.1382404,38.3231215
"142","Tofaş Kartal 1.6 ie
            Emsalsiz","1999",145000,"Kırmızı",15750,"14 Mayıs 2017","İstanbul Bakırköy","Tofaş Kartal 1.6 ie",31.104447,36.917399
"152","Volkswagen Golf 1.6 Midline
            ÖZTÜRK OTOMOTİVDEN DÜZ MOTOR OTOMATİK GOLF","2006",120000,"Siyah",38500,"14 Mayıs 2017","İzmir Buca","Volkswagen Golf 1.6 ",27.731838,38.089478
"162","Opel Corsa 1.4 Twinport Essentia
            PREMIUM AUTO'DAN HATASIZ BOYASIZ 1.4 BENZİNLİ TAM OTOMATİK YENİ KASA OPEL CORSA","2015",35000,"Gri (titanyum)",51500,"14 Mayıs 2017"," Ankara Akyurt","Opel Corsa 1.4 Twinp",32.9212265,39.8451842
"182","Renault R 12 Toros
            1992 MODEL RENAULT 12 TOROS SEDAN...","1992",69543,"Beyaz",9700,"14 Mayıs 2017"," Adana Sarıçam","Renault R 12 Toros
",30.769476,36.8827594
"192","Renault Megane 1.6 RTE
            2000 Model 1.6 16 Valf","2000",270000,"Beyaz",21000,"14 Mayıs 2017"," SamsunÇarşamba","Renault Megane 1.6 R",31.104447,36.917399
"202","Toyota Corona 2.0 GLi
            BEY OTOMOTİV'DEN TOYOTA CORONA 2.0 GLİ","1993",211000,"Yeşil",13000,"14 Mayıs 2017"," GaziantepŞehitkamil","Toyota Corona 2.0 GL",27.731838,38.089478
"212","Renault R 12 Toros
            1994  Beyaz","1994",0,"Beyaz",13250,"14 Mayıs 2017"," Uşak Merkez","Renault R 12 Toros
",30.4154737,40.8291144
"222","Renault R 12 TSW
            1989 Renault TOROS","1989",74000,"Mavi (metalik)",10500,"14 Mayıs 2017"," SamsunÇarşamba","Renault R 12 TSW
  ",28.824722,41.0456474
"232","Hyundai Getz 1.4 DOHC Start
            PREMIUM AUTO'DAN HATASIZ BOYASIZ 2010 MODEL HYUNDAİ GETZ  LPG'Lİ
                
                            
                            İlk Sahibi","2010",81000,"Siyah",32950,"14 Mayıs 2017"," Ankara Akyurt","Hyundai Getz 1.4 DOH",30.6890055,36.9934776
